UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,INTERVAL_MS,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_FUNDING_RATE_UPDATES
HOUR,2024-10-17 09:00:00,227,dydxv4,BTC-USD,3600000,6.5e-06,6.5e-06,-4.875e-06,-4.875e-06,1729155600.0,1729155600.0,-4.875e-06,-4.875e-06,1729155600.0,-4.875e-06,1729155600.0,-4.875e-06,1
HOUR,2024-10-17 10:00:00,227,dydxv4,BTC-USD,3600000,-4.875e-06,2e-06,-4.875e-06,2e-06,1729159200.0,1729159200.0,2e-06,2e-06,1729159200.0,2e-06,1729159200.0,2e-06,1
HOUR,2024-10-17 11:00:00,227,dydxv4,BTC-USD,3600000,2e-06,8.875e-06,2e-06,8.875e-06,1729162800.0,1729162800.0,8.875e-06,8.875e-06,1729162800.0,8.875e-06,1729162800.0,8.875e-06,1
HOUR,2024-10-17 12:00:00,227,dydxv4,BTC-USD,3600000,8.875e-06,1.9125e-05,8.875e-06,1.9125e-05,1729166400.0,1729166400.0,1.9125e-05,1.9125e-05,1729166400.0,1.9125e-05,1729166400.0,1.9125e-05,1
HOUR,2024-10-17 13:00:00,227,dydxv4,BTC-USD,3600000,1.9125e-05,2.9e-05,1.9125e-05,2.9e-05,1729170000.0,1729170000.0,2.9e-05,2.9e-05,1729170000.0,2.9e-05,1729170000.0,2.9e-05,1
HOUR,2024-10-17 14:00:00,227,dydxv4,BTC-USD,3600000,2.9e-05,2.9e-05,1.5875e-05,1.5875e-05,1729173600.0,1729173600.0,1.5875e-05,1.5875e-05,1729173600.0,1.5875e-05,1729173600.0,1.5875e-05,1
HOUR,2024-10-17 15:00:00,227,dydxv4,BTC-USD,3600000,1.5875e-05,1.5875e-05,6.375e-06,6.375e-06,1729177200.0,1729177200.0,6.375e-06,6.375e-06,1729177200.0,6.375e-06,1729177200.0,6.375e-06,1
HOUR,2024-10-17 16:00:00,227,dydxv4,BTC-USD,3600000,6.375e-06,2.175e-05,6.375e-06,2.175e-05,1729180800.0,1729180800.0,2.175e-05,2.175e-05,1729180800.0,2.175e-05,1729180800.0,2.175e-05,1
HOUR,2024-10-17 17:00:00,227,dydxv4,BTC-USD,3600000,2.175e-05,3.575e-05,2.175e-05,3.575e-05,1729184400.0,1729184400.0,3.575e-05,3.575e-05,1729184400.0,3.575e-05,1729184400.0,3.575e-05,1
HOUR,2024-10-17 18:00:00,227,dydxv4,BTC-USD,3600000,3.575e-05,3.8125e-05,3.575e-05,3.8125e-05,1729188000.0,1729188000.0,3.8125e-05,3.8125e-05,1729188000.0,3.8125e-05,1729188000.0,3.8125e-05,1
HOUR,2024-10-17 19:00:00,227,dydxv4,BTC-USD,3600000,3.8125e-05,3.8125e-05,2.9e-05,2.9e-05,1729191600.0,1729191600.0,2.9e-05,2.9e-05,1729191600.0,2.9e-05,1729191600.0,2.9e-05,1
HOUR,2024-10-17 20:00:00,227,dydxv4,BTC-USD,3600000,2.9e-05,2.9625e-05,2.9e-05,2.9625e-05,1729195200.0,1729195200.0,2.9625e-05,2.9625e-05,1729195200.0,2.9625e-05,1729195200.0,2.9625e-05,1
HOUR,2024-10-17 21:00:00,227,dydxv4,BTC-USD,3600000,2.9625e-05,2.9625e-05,2.2e-05,2.2e-05,1729198800.0,1729198800.0,2.2e-05,2.2e-05,1729198800.0,2.2e-05,1729198800.0,2.2e-05,1
HOUR,2024-10-17 22:00:00,227,dydxv4,BTC-USD,3600000,2.2e-05,2.2e-05,1.175e-05,1.175e-05,1729202400.0,1729202400.0,1.175e-05,1.175e-05,1729202400.0,1.175e-05,1729202400.0,1.175e-05,1
HOUR,2024-10-17 23:00:00,227,dydxv4,BTC-USD,3600000,1.175e-05,2.6125e-05,1.175e-05,2.6125e-05,1729206000.0,1729206000.0,2.6125e-05,2.6125e-05,1729206000.0,2.6125e-05,1729206000.0,2.6125e-05,1
HOUR,2024-10-18 00:00:00,227,dydxv4,BTC-USD,3600000,2.6125e-05,3.5e-05,2.6125e-05,3.5e-05,1729209600.0,1729209600.0,3.5e-05,3.5e-05,1729209600.0,3.5e-05,1729209600.0,3.5e-05,1
HOUR,2024-10-18 01:00:00,227,dydxv4,BTC-USD,3600000,3.5e-05,3.5e-05,3.5e-05,3.5e-05,,,,,,,,,0
HOUR,2024-10-18 02:00:00,227,dydxv4,BTC-USD,3600000,3.5e-05,4.45e-05,3.5e-05,4.45e-05,1729216800.0,1729216800.0,4.45e-05,4.45e-05,1729216800.0,4.45e-05,1729216800.0,4.45e-05,1
HOUR,2024-10-18 03:00:00,227,dydxv4,BTC-USD,3600000,4.45e-05,4.45e-05,4.45e-05,4.45e-05,1729220402.0,1729220402.0,4.45e-05,4.45e-05,1729220402.0,4.45e-05,1729220402.0,4.45e-05,1
HOUR,2024-10-18 04:00:00,227,dydxv4,BTC-USD,3600000,4.45e-05,4.45e-05,3.425e-05,3.425e-05,1729224000.0,1729224000.0,3.425e-05,3.425e-05,1729224000.0,3.425e-05,1729224000.0,3.425e-05,1
HOUR,2024-10-18 05:00:00,227,dydxv4,BTC-USD,3600000,3.425e-05,3.9875e-05,3.425e-05,3.9875e-05,1729227600.0,1729227600.0,3.9875e-05,3.9875e-05,1729227600.0,3.9875e-05,1729227600.0,3.9875e-05,1
HOUR,2024-10-18 06:00:00,227,dydxv4,BTC-USD,3600000,3.9875e-05,4.175e-05,3.9875e-05,4.175e-05,1729231200.0,1729231200.0,4.175e-05,4.175e-05,1729231200.0,4.175e-05,1729231200.0,4.175e-05,1
HOUR,2024-10-18 07:00:00,227,dydxv4,BTC-USD,3600000,4.175e-05,5.225e-05,4.175e-05,5.225e-05,1729234800.0,1729234800.0,5.225e-05,5.225e-05,1729234800.0,5.225e-05,1729234800.0,5.225e-05,1
HOUR,2024-10-18 08:00:00,227,dydxv4,BTC-USD,3600000,5.225e-05,5.225e-05,5.1125e-05,5.1125e-05,1729238400.0,1729238400.0,5.1125e-05,5.1125e-05,1729238400.0,5.1125e-05,1729238400.0,5.1125e-05,1
HOUR,2024-10-18 09:00:00,227,dydxv4,BTC-USD,3600000,5.1125e-05,5.1125e-05,4.35e-05,4.35e-05,1729242000.0,1729242000.0,4.35e-05,4.35e-05,1729242000.0,4.35e-05,1729242000.0,4.35e-05,1
HOUR,2024-10-18 10:00:00,227,dydxv4,BTC-USD,3600000,4.35e-05,4.35e-05,3.7e-05,3.7e-05,1729245600.0,1729245600.0,3.7e-05,3.7e-05,1729245600.0,3.7e-05,1729245600.0,3.7e-05,1
HOUR,2024-10-18 11:00:00,227,dydxv4,BTC-USD,3600000,3.7e-05,3.7e-05,2.6625e-05,2.6625e-05,1729249200.0,1729249200.0,2.6625e-05,2.6625e-05,1729249200.0,2.6625e-05,1729249200.0,2.6625e-05,1
HOUR,2024-10-18 12:00:00,227,dydxv4,BTC-USD,3600000,2.6625e-05,2.6625e-05,1.4e-05,1.4e-05,1729252800.0,1729252800.0,1.4e-05,1.4e-05,1729252800.0,1.4e-05,1729252800.0,1.4e-05,1
HOUR,2024-10-18 13:00:00,227,dydxv4,BTC-USD,3600000,1.4e-05,1.4e-05,4.5e-06,4.5e-06,1729256400.0,1729256400.0,4.5e-06,4.5e-06,1729256400.0,4.5e-06,1729256400.0,4.5e-06,1
HOUR,2024-10-18 14:00:00,227,dydxv4,BTC-USD,3600000,4.5e-06,5.125e-06,4.5e-06,5.125e-06,1729260000.0,1729260000.0,5.125e-06,5.125e-06,1729260000.0,5.125e-06,1729260000.0,5.125e-06,1
