UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
HOUR,2024-10-17 09:00:00,707,binance,BTCUSDT,67450.0,67530.01,67185.16,67191.4,1729155600,1729159199,67450.0,67530.01,1729155804,67185.16,1729159152,67191.4,125108,50319,74789,0,941.8405,63442596.747021,309.60799,20861174.5621287,632.23251,42581422.1848923,0,0
HOUR,2024-10-17 10:00:00,707,binance,BTCUSDT,67191.4,67295.4,66818.96,67214.0,1729159200,1729162799,67191.41,67295.4,1729159696,66818.96,1729161295,67214.0,185314,89838,95476,0,1208.73503,81078403.8301747,581.58445,39015507.9541183,627.15058,42062895.8760564,0,0
HOUR,2024-10-17 11:00:00,707,binance,BTCUSDT,67214.0,67285.0,66741.09,66872.43,1729162800,1729166399,67214.01,67285.0,1729162901,66741.09,1729165591,66872.43,286165,134337,151828,0,1944.76935,130159844.691146,684.83452,45833640.4121097,1259.93483,84326204.2789022,0,0
HOUR,2024-10-17 12:00:00,707,binance,BTCUSDT,66872.43,67184.0,66799.9,67171.42,1729166400,1729169999,66872.44,67184.0,1729168815,66799.9,1729166505,67171.42,239650,117738,121912,0,998.62443,66934514.7431392,544.50415,36496052.097821,454.12028,30438462.6453182,0,0
HOUR,2024-10-17 13:00:00,707,binance,BTCUSDT,67171.42,67354.94,66669.0,67021.99,1729170000,1729173599,67171.42,67354.94,1729172758,66669.0,1729172196,67021.99,339178,159009,180169,0,1702.17377,114106265.034279,892.28318,59826687.6785865,809.89059,54279577.3544352,0,0
HOUR,2024-10-17 14:00:00,707,binance,BTCUSDT,67021.99,67293.94,66666.0,67123.8,1729173600,1729177199,67021.99,67293.94,1729176926,66666.0,1729174079,67123.8,482996,243712,239284,0,2327.10904,155763681.194168,1188.86441,79578195.8462653,1138.24463,76185485.3469567,0,0
HOUR,2024-10-17 15:00:00,707,binance,BTCUSDT,67123.8,67680.0,66925.06,67590.66,1729177200,1729180799,67123.8,67680.0,1729179423,66925.06,1729177515,67590.66,301401,153854,147547,0,1616.10959,108814764.81979,852.95644,57435789.4213978,763.15315,51378975.3979991,0,0
HOUR,2024-10-17 16:00:00,707,binance,BTCUSDT,67590.66,67590.67,67122.68,67384.42,1729180800,1729184399,67590.67,67590.67,1729180830,67122.68,1729182880,67384.42,198863,117425,81438,0,1677.79081,112981244.993408,916.5201,61713012.721109,761.27071,51268232.2725797,0,0
HOUR,2024-10-17 17:00:00,707,binance,BTCUSDT,67384.42,67526.0,67156.7,67290.0,1729184400,1729187999,67384.42,67526.0,1729185272,67156.7,1729185929,67290.0,167230,86523,80707,0,1220.03847,82223273.4649682,719.20899,48482109.0719939,500.82948,33741164.3929743,0,0
HOUR,2024-10-17 18:00:00,707,binance,BTCUSDT,67290.0,67308.82,66720.0,66938.01,1729188000,1729191599,67290.0,67308.82,1729188045,66720.0,1729189226,66938.01,243986,115607,128379,0,1635.90526,109512547.958035,702.23199,46998936.9026943,933.67327,62513611.055487,0,0
HOUR,2024-10-17 19:00:00,707,binance,BTCUSDT,66938.01,67017.39,66780.0,66840.0,1729191600,1729195199,66938.01,67017.39,1729193123,66780.0,1729195169,66840.0,110810,45496,65314,0,830.3972,55558450.5619509,352.08485,23555397.2122358,478.31235,32003053.3497151,0,0
HOUR,2024-10-17 20:00:00,707,binance,BTCUSDT,66840.0,67149.5,66827.68,66940.0,1729195200,1729198799,66840.0,67149.5,1729197039,66827.68,1729195215,66940.0,70450,31771,38679,0,469.0635,31436076.3287576,238.23478,15963389.5978056,230.82872,15472686.730952,0,0
HOUR,2024-10-17 21:00:00,707,binance,BTCUSDT,66940.0,67129.98,66940.0,67084.0,1729198800,1729202399,66940.0,67129.98,1729200468,66940.0,1729198910,67084.0,44347,23205,21142,0,319.20057,21401868.047378,162.64757,10905456.4444375,156.553,10496411.6029405,0,0
HOUR,2024-10-17 22:00:00,707,binance,BTCUSDT,67084.0,67480.0,67084.0,67444.02,1729202400,1729205999,67084.01,67480.0,1729205579,67084.01,1729202400,67444.02,110512,62734,47778,0,919.29212,61891123.0797842,626.89371,42203586.596107,292.39841,19687536.4836772,0,0
HOUR,2024-10-17 23:00:00,707,binance,BTCUSDT,67444.02,67479.99,67288.01,67421.78,1729206000,1729209599,67444.02,67479.99,1729209514,67288.01,1729206899,67421.78,65162,29503,35659,0,715.13346,48178803.777455,390.41714,26300495.8651411,324.71632,21878307.9123139,0,0
HOUR,2024-10-18 00:00:00,707,binance,BTCUSDT,67421.78,67457.07,67192.36,67214.42,1729209600,1729213199,67421.78,67457.07,1729210996,67192.36,1729212763,67214.42,110019,45895,64124,0,626.09327,42154213.8318602,245.60554,16535228.0831384,380.48773,25618985.7487218,0,0
HOUR,2024-10-18 01:00:00,707,binance,BTCUSDT,67214.42,68260.92,67194.0,68085.5,1729213200,1729216799,67214.41,68260.92,1729216679,67194.0,1729213282,68085.5,283248,162293,120955,0,2138.13847,145033418.23741,1354.97675,91940318.6164478,783.16172,53093099.6208123,0,0
