UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,NUMBER_OF_CONTRACTS,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
HOUR,2024-10-17 09:00:00,207,binance,BTCUSDT,67430.1,67516.7,67163.1,67174.8,1729155600,1729159199,67430.1,67516.7,1729155878,67163.1,1729159144,67174.8,77058,33714,43344,0,4766235,4766.235,320967113.7647,1893.656,127548306.1558,2872.579,193418807.6089,0,0
HOUR,2024-10-17 10:00:00,207,binance,BTCUSDT,67174.8,67299.9,66766.0,67187.9,1729159200,1729162799,67174.9,67299.9,1729159461,66766.0,1729161296,67187.9,171858,84683,87175,0,14736965,14736.965,987919993.3648,6957.199,466491917.3698,7779.766,521428075.995,0,0
HOUR,2024-10-17 11:00:00,207,binance,BTCUSDT,67187.9,67271.9,66789.3,66853.6,1729162800,1729166399,67188.0,67271.9,1729162899,66789.3,1729165825,66853.6,150286,69537,80749,0,9380726,9380.726,627939295.8922,4304.818,288146383.1976,5075.908,339792912.6946,0,0
HOUR,2024-10-17 12:00:00,207,binance,BTCUSDT,66853.6,67173.8,66790.8,67150.0,1729166400,1729169999,66853.5,67173.8,1729168813,66790.8,1729166509,67150.0,140258,72771,67487,0,8681412,8681.412,581851690.4965,4599.453,308285947.3633,4081.959,273565743.1332,0,0
HOUR,2024-10-17 13:00:00,207,binance,BTCUSDT,67150.0,67338.6,66660.0,66993.9,1729170000,1729173599,67150.0,67338.6,1729172753,66660.0,1729172221,66993.9,267494,130489,137005,0,22472830,22472.83,1505880717.3452,10938.007,733072469.5063,11534.823,772808247.8389,0,0
HOUR,2024-10-17 14:00:00,207,binance,BTCUSDT,66993.9,67304.0,66600.0,67096.9,1729173600,1729177199,66994.0,67304.0,1729176926,66600.0,1729174079,67096.9,326538,165805,160733,0,25662398,25662.398,1717305931.593,12757.144,853886007.4013,12905.254,863419924.1917,0,0
HOUR,2024-10-17 15:00:00,207,binance,BTCUSDT,67096.9,67673.9,66889.6,67561.9,1729177200,1729180799,67097.0,67673.9,1729179423,66889.6,1729177514,67561.9,258265,135400,122865,0,18092319,18092.319,1218394200.9894,9841.226,662878334.6193,8251.093,555515866.3701,0,0
HOUR,2024-10-17 16:00:00,207,binance,BTCUSDT,67561.9,67570.0,67090.6,67354.2,1729180800,1729184399,67561.9,67570.0,1729180826,67090.6,1729182882,67354.2,167574,78492,89082,0,10658232,10658.232,717414552.5569,4709.845,316997362.4509,5948.387,400417190.106,0,0
HOUR,2024-10-17 17:00:00,207,binance,BTCUSDT,67354.2,67505.9,67121.3,67256.4,1729184400,1729187999,67354.2,67505.9,1729185264,67121.3,1729185919,67256.4,132942,64299,68643,0,7348896,7348.896,494842377.0664,3400.258,228953387.9165,3948.638,265888989.1499,0,0
HOUR,2024-10-17 18:00:00,207,binance,BTCUSDT,67256.4,67280.5,66682.3,66910.5,1729188000,1729191599,67256.4,67280.5,1729188010,66682.3,1729189236,66910.5,228994,114653,114341,0,18367384,18367.384,1228797391.7733,8943.959,598413511.4829,9423.425,630383880.2904,0,0
HOUR,2024-10-17 19:00:00,207,binance,BTCUSDT,66910.5,67008.0,66752.5,66821.1,1729191600,1729195199,66910.4,67008.0,1729193093,66752.5,1729195169,66821.1,94077,46573,47504,0,5718302,5718.302,382450133.1151,2906.363,194395678.6419,2811.939,188054454.4732,0,0
HOUR,2024-10-17 20:00:00,207,binance,BTCUSDT,66821.1,67131.0,66802.6,66924.0,1729195200,1729198799,66821.1,67131.0,1729197031,66802.6,1729195215,66924.0,75667,39571,36096,0,5132894,5132.894,343889691.8297,3063.787,205271375.4517,2069.107,138618316.378,0,0
HOUR,2024-10-17 21:00:00,207,binance,BTCUSDT,66924.0,67114.4,66919.0,67059.9,1729198800,1729202399,66923.9,67114.4,1729200466,66919.0,1729198817,67059.9,45607,23750,21857,0,2553990,2553.99,171212218.3873,1377.413,92334421.1626,1176.577,78877797.2247,0,0
HOUR,2024-10-17 22:00:00,207,binance,BTCUSDT,67059.9,67462.0,67059.9,67427.6,1729202400,1729205999,67060.0,67462.0,1729205579,67060.0,1729202400,67427.6,91712,50691,41021,0,5466990,5466.99,367956146.0909,2833.372,190676988.0205,2633.618,177279158.0704,0,0
HOUR,2024-10-17 23:00:00,207,binance,BTCUSDT,67427.6,67473.5,67265.4,67401.5,1729206000,1729209599,67427.7,67473.5,1729209514,67265.4,1729206896,67401.5,61278,31002,30276,0,3969856,3969.856,267363808.3642,1790.23,120572264.1163,2179.626,146791544.2479,0,0
HOUR,2024-10-18 00:00:00,207,binance,BTCUSDT,67401.5,67444.8,67165.0,67190.3,1729209603,1729213199,67401.5,67444.8,1729210951,67165.0,1729212574,67190.3,87641,41236,46405,0,5290069,5290.069,356013533.8684,2557.265,172104637.6249,2732.804,183908896.2435,0,0
HOUR,2024-10-18 01:00:00,207,binance,BTCUSDT,67190.3,68268.0,67170.0,68080.1,1729213200,1729216799,67190.2,68268.0,1729216679,67170.0,1729213276,68080.1,226172,131631,94541,0,18378786,18378.786,1245788114.01,11627.934,788178143.2317,6750.852,457609970.7783,0,0
HOUR,2024-10-18 02:00:00,207,binance,BTCUSDT,68080.1,68130.0,67771.2,68085.0,1729216800,1729220399,68080.0,68130.0,1729216832,67771.2,1729217767,68085.0,163757,79834,83923,0,10115047,10115.047,687319328.1494,4569.366,310528588.7767,5545.681,376790739.3727,0,0
HOUR,2024-10-18 03:00:00,207,binance,BTCUSDT,68085.0,68089.9,67500.0,67532.3,1729220400,1729223999,68084.9,68089.9,1729220413,67500.0,1729223978,67532.3,111358,48151,63207,0,9038671,9038.671,612667414.2152,3233.921,219244350.1217,5804.75,393423064.0935,0,0
HOUR,2024-10-18 04:00:00,207,binance,BTCUSDT,67532.3,67857.3,67520.1,67721.1,1729224000,1729227599,67532.3,67857.3,1729225980,67520.1,1729224091,67721.1,87002,47331,39671,0,6232909,6232.909,421937362.6517,3561.238,241060974.425,2671.671,180876388.2267,0,0
HOUR,2024-10-18 05:00:00,207,binance,BTCUSDT,67721.1,68040.8,67611.2,67983.5,1729227600,1729231199,67721.1,68040.8,1729230849,67611.2,1729228119,67983.5,87614,47822,39792,0,5949615,5949.615,403758714.6226,3603.049,244573852.8375,2346.566,159184861.7851,0,0
